cat,rule,tn,fp,fn,tp,precision,recall,fscore,accuracy,mcc,auc
Client Characteristic,o_47,191,1269,560,2807,0.6886653581943082,0.8336798336798337,0.7542657530565632,0.9362908605737158,-0.04498501352167734,
Client Characteristic,Aggregate,1460,0,3367,0,0.0,0.0,0.0,0.30246529935777916,0.0,0.5177491242559736
Client Description,p_34,32,0,26,16,1.0,0.38095238095238093,0.5517241379310345,0.3333333333333333,0.45845460404900223,
Client Description,o_42,31,1,42,0,0.0,0.0,0.0,0.0,-0.1340874791126842,
Client Description,o_43,31,1,42,0,0.0,0.0,0.0,0.0,-0.1340874791126842,
Client Description,Aggregate,32,0,26,16,1.0,0.38095238095238093,0.5517241379310345,0.6486486486486487,0.45845460404900223,0.7001488095238095
Desired State (Outcome),o_20,1,44,3,40,0.47619047619047616,0.9302325581395349,0.6299212598425197,0.975609756097561,-0.11409791386597087,
Desired State (Outcome),Aggregate,45,0,43,0,0.0,0.0,0.0,0.5113636363636364,0.0,0.5237726098191213
Need,o_8,36,7,69,6,0.46153846153846156,0.08,0.13636363636363638,0.14285714285714285,-0.12725652981387986,
Need,o_9,10,33,28,47,0.5875,0.6266666666666667,0.6064516129032258,0.8245614035087719,-0.14499539237744596,
Need,Aggregate,43,0,75,0,0.0,0.0,0.0,0.3644067796610169,0.0,0.5914728682170544
Need Satisfier,o_44,2913,74,14996,2979,0.9757615460203078,0.16573018080667593,0.2833365037093399,0.5056008146639511,0.13968090833666358,
Need Satisfier,s_46,2896,91,15042,2933,0.9699074074074074,0.1631710709318498,0.279346635554074,0.5031737862412078,0.13202731879324667,
Need Satisfier,o_36,2701,286,13846,4129,0.9352208380520951,0.22970792767732962,0.3688253684680661,0.6045387994143485,0.11484211761768864,
Need Satisfier,o_2,2916,71,16862,1113,0.9400337837837838,0.06191933240611961,0.11618560467665327,0.276247207743857,0.0577664579521449,
Need Satisfier,o_1,2987,0,17950,25,1.0,0.0013908205841446453,0.002777777777777778,0.008300132802124834,0.014086267764217925,
Need Satisfier,o_3,2874,113,17301,674,0.8564167725540025,0.03749652294853964,0.07184735102867498,0.18996617812852312,-0.0006143326669854458,
Need Satisfier,o_31,2979,8,17931,44,0.8461538461538461,0.002447844228094576,0.004881566539080269,0.014555077737347006,-0.0016192323143266235,
Need Satisfier,o_16,2962,25,17865,110,0.8148148148148148,0.00611961057023644,0.012147984538928768,0.035807291666666664,-0.009832243060188579,
Need Satisfier,o_25,2981,6,17958,17,0.7391304347826086,0.0009457579972183589,0.0018890987887543059,0.005670446964643095,-0.011223324892627506,
Need Satisfier,o_11,2919,68,17847,128,0.6530612244897959,0.007121001390820584,0.014088382587639644,0.04200853298326222,-0.05682038233537882,
Need Satisfier,s_12,2856,131,17747,228,0.6350974930362117,0.012684283727399166,0.024871822842805716,0.07392996108949416,-0.08398664742058345,
Need Satisfier,o_13,1738,1249,13800,4175,0.7697271386430679,0.23226703755215578,0.35685285695969915,0.7060713681718248,-0.1483621974782919,
Need Satisfier,o_22,2628,359,17442,533,0.5975336322869955,0.02965229485396384,0.05650076853765835,0.16861752609933564,-0.15678818656657234,
Need Satisfier,Aggregate,2485,502,7994,9981,0.9521129447677191,0.5552712100139082,0.7014547754585705,0.5946951626753172,0.27070449974062444,0.7287087066672316
Need Satisfier Description,o_32,5,0,62,21,1.0,0.25301204819277107,0.4038461538461538,0.8076923076923077,0.13740995645799792,
Need Satisfier Description,o_18,3,2,31,52,0.9629629629629629,0.6265060240963856,0.7591240875912408,0.9454545454545454,0.10768803857436347,
Need Satisfier Description,Aggregate,3,2,10,73,0.9733333333333334,0.8795180722891566,0.9240506329113923,0.8636363636363636,0.3128432004818637,0.7903614457831325
Program Name,s_35,39,18,52,219,0.9240506329113924,0.8081180811808119,0.862204724409449,0.8488372093023255,0.41666044748982134,
Program Name,s_44,55,2,209,62,0.96875,0.22878228782287824,0.3701492537313433,0.5299145299145299,0.1852028073299746,
Program Name,s_45,24,33,247,24,0.42105263157894735,0.08856088560885608,0.14634146341463414,0.5,-0.49038648281219654,
Program Name,Aggregate,39,18,52,219,0.9240506329113924,0.8081180811808119,0.862204724409449,0.7865853658536586,0.41666044748982134,0.7933579335793357
Required Criteria,o_28,3,33,41,98,0.7480916030534351,0.7050359712230215,0.7259259259259259,0.9702970297029703,-0.19718565778338185,
Required Criteria,Aggregate,36,0,139,0,0.0,0.0,0.0,0.2057142857142857,0.0,0.6058153477218226
Service Description,o_23,20,0,35,0,0.0,0.0,0.0,0.0,0.0,
Service Description,o_24,20,0,35,0,0.0,0.0,0.0,0.0,0.0,
Service Description,o_33,20,0,35,0,0.0,0.0,0.0,0.0,0.0,
Service Description,o_45,20,0,35,0,0.0,0.0,0.0,0.0,0.0,
Service Description,o_15,13,7,25,10,0.5882352941176471,0.2857142857142857,0.3846153846153846,0.43478260869565216,-0.06691865982135774,
Service Description,s_41,19,1,35,0,0.0,0.0,0.0,0.0,-0.1800205749557739,
Service Description,s_43,19,1,35,0,0.0,0.0,0.0,0.0,-0.1800205749557739,
Service Description,o_19,14,6,30,5,0.45454545454545453,0.14285714285714285,0.21739130434782608,0.2631578947368421,-0.1889822365046136,
Service Description,Aggregate,20,0,35,0,0.0,0.0,0.0,0.36363636363636365,0.0,0.6642857142857143
